title,description,price,compare_at_price,cost_per_item,sku,category_id,category_slug,category_name,image_url,inventory_quantity,track_inventory,is_active,is_featured,tags
Cute Phone Sticker Pack 1,Adorable phone stickers for personalization,99,,50,STICKER-001,,phone-stickers,Phone Stickers,https://i.pinimg.com/736x/47/26/22/472622c2ecddc6335586b44faa40319a.jpg,100,true,true,true,phone;cute;stickers
Vintage Laptop Sticker Set,Retro style laptop stickers collection,149,199,75,STICKER-002,,laptop-stickers,Laptop Stickers,https://i.pinimg.com/originals/46/a6/e4/46a6e4070f94784a017a78f15dc5ef61.jpg,80,true,true,true,laptop;vintage;stickers
Kawaii Phone Stickers,Super cute kawaii style phone stickers,89,,45,STICKER-003,,phone-stickers,Phone Stickers,https://i.pinimg.com/736x/08/d3/6a/08d36a49e719db29d0708d5d514214d3.jpg,120,true,true,false,phone;kawaii;cute
Minimalist Laptop Decals,Clean minimalist laptop sticker designs,129,,65,STICKER-004,,laptop-stickers,Laptop Stickers,https://i.pinimg.com/originals/97/3b/17/973b17ccd9f4f09d371bd92af9951049.jpg,90,true,true,false,laptop;minimalist;design
Colorful Phone Sticker Pack,Bright and vibrant phone stickers,79,,40,STICKER-005,,phone-stickers,Phone Stickers,https://i.pinimg.com/736x/f2/ff/ee/f2ffeea0efa07382c04cffe4b212580a.jpg,150,true,true,true,phone;colorful;vibrant
Gaming Laptop Stickers,Epic gaming themed laptop stickers,199,249,100,STICKER-006,,laptop-stickers,Laptop Stickers,https://i.pinimg.com/736x/e3/16/95/e31695c82bdcc629c8e74aeae5290107.jpg,60,true,true,true,laptop;gaming;epic
Aesthetic Phone Stickers,Modern aesthetic phone sticker collection,109,,55,STICKER-007,,phone-stickers,Phone Stickers,https://i.pinimg.com/736x/b3/3c/42/b33c425f04987c883bd9a10d51f40de6.jpg,110,true,true,false,phone;aesthetic;modern
Retro Laptop Stickers,80s and 90s inspired laptop stickers,159,,80,STICKER-008,,laptop-stickers,Laptop Stickers,https://i.pinimg.com/originals/f3/b6/a5/f3b6a56e5ffeb50e11fa9f8e79eb2a4c.jpg,70,true,true,false,laptop;retro;vintage
Cute Animal Phone Stickers,Adorable animal themed phone stickers,99,,50,STICKER-009,,phone-stickers,Phone Stickers,https://i.pinimg.com/474x/fc/7d/d7/fc7dd757a42642a156359a570f0f1cd7.jpg,130,true,true,true,phone;animals;cute
Tech Laptop Stickers,Technology themed laptop sticker pack,179,,90,STICKER-010,,laptop-stickers,Laptop Stickers,https://i.pinimg.com/236x/67/a6/e5/67a6e5aed00e2f6147c5bc14ef4d054d.jpg,85,true,true,true,laptop;tech;technology
Floral Phone Stickers,Beautiful floral design phone stickers,119,,60,STICKER-011,,phone-stickers,Phone Stickers,https://i.pinimg.com/originals/00/01/09/0001094744f8fc1509b09f78394ea70a.jpg,95,true,true,false,phone;floral;flowers
Abstract Laptop Stickers,Artistic abstract laptop sticker designs,139,,70,STICKER-012,,laptop-stickers,Laptop Stickers,https://i.pinimg.com/736x/11/4f/3d/114f3d0d82ceff74366479f61e15643b.jpg,75,true,true,false,laptop;abstract;art
Pastel Phone Stickers,Soft pastel colored phone stickers,89,,45,STICKER-013,,phone-stickers,Phone Stickers,https://i.pinimg.com/736x/38/7a/cb/387acb1030be93c323e5be0901654f3b.jpg,140,true,true,true,phone;pastel;soft
Space Laptop Stickers,Cosmic space themed laptop stickers,169,,85,STICKER-014,,laptop-stickers,Laptop Stickers,https://i.pinimg.com/736x/ec/0a/25/ec0a25596fca2e3d56f5619dc75f8fb6.jpg,65,true,true,true,laptop;space;cosmic
Boho Phone Stickers,Bohemian style phone sticker collection,109,,55,STICKER-015,,phone-stickers,Phone Stickers,https://i.pinimg.com/736x/28/00/48/280048246f44af72d8c95f422103fde6.jpg,100,true,true,false,phone;boho;bohemian
Music Laptop Stickers,Music and sound themed laptop stickers,149,,75,STICKER-016,,laptop-stickers,Laptop Stickers,https://i.pinimg.com/736x/ee/84/98/ee8498bfa11ff2fe0d59b226724702c5.jpg,80,true,true,false,laptop;music;sound
Nature Phone Stickers,Inspired by nature phone sticker pack,99,,50,STICKER-017,,phone-stickers,Phone Stickers,https://i.pinimg.com/736x/09/15/2b/09152bf2571195276963cb7bbca97293.jpg,115,true,true,true,phone;nature;outdoor
Geometric Laptop Stickers,Modern geometric laptop sticker designs,129,,65,STICKER-018,,laptop-stickers,Laptop Stickers,https://i.pinimg.com/originals/cf/6f/de/cf6fdedf2ac698435ff988610a64b90d.jpg,90,true,true,false,laptop;geometric;modern
Kawaii Animal Phone Stickers,Super cute kawaii animal phone stickers,79,,40,STICKER-019,,phone-stickers,Phone Stickers,https://i.pinimg.com/originals/75/c0/44/75c044240b0d16d61f2284f7ab8839ae.jpg,160,true,true,true,phone;kawaii;animals
Cyberpunk Laptop Stickers,Futuristic cyberpunk laptop sticker set,199,249,100,STICKER-020,,laptop-stickers,Laptop Stickers,https://i.pinimg.com/originals/ea/f1/24/eaf124ef5f9fc900f6bc61dd4664afb9.jpg,55,true,true,true,laptop;cyberpunk;futuristic
Cute Food Phone Stickers,Adorable food themed phone stickers,89,,45,STICKER-021,,phone-stickers,Phone Stickers,https://i.pinimg.com/736x/0e/b7/ea/0eb7ea7812c606cf2f2d96a752632acc.jpg,125,true,true,false,phone;food;cute
Travel Laptop Stickers,Wanderlust travel themed laptop stickers,159,,80,STICKER-022,,laptop-stickers,Laptop Stickers,https://i.pinimg.com/originals/5b/d6/b0/5bd6b0ac96be1fd2769b7073c626f92f.jpg,70,true,true,false,laptop;travel;wanderlust
Rainbow Phone Stickers,Bright rainbow colored phone stickers,99,,50,STICKER-023,,phone-stickers,Phone Stickers,https://i.pinimg.com/736x/08/a0/55/08a055e623e6ce684f1bddd197d5a583.jpg,135,true,true,true,phone;rainbow;colorful
Minimalist Tech Laptop Stickers,Clean tech minimalist laptop stickers,139,,70,STICKER-024,,laptop-stickers,Laptop Stickers,https://i.pinimg.com/736x/c1/16/bc/c116bccf43e307f91df0bc8099863142.jpg,85,true,true,false,laptop;tech;minimalist
Cute Emoji Phone Stickers,Fun emoji themed phone sticker pack,79,,40,STICKER-025,,phone-stickers,Phone Stickers,https://i.pinimg.com/originals/fe/5b/c6/fe5bc687a9439facf5ed3fb4d52e0647.jpg,145,true,true,true,phone;emoji;fun
Artistic Laptop Stickers,Creative artistic laptop sticker collection,149,,75,STICKER-026,,laptop-stickers,Laptop Stickers,https://i.pinimg.com/originals/52/e0/81/52e0813e3a475ea5dc680f80f64ddb0f.jpg,75,true,true,false,laptop;artistic;creative
Pastel Animal Phone Stickers,Soft pastel animal phone stickers,109,,55,STICKER-027,,phone-stickers,Phone Stickers,https://i.pinimg.com/originals/28/3d/cf/283dcfcd77d81c70004751510ff58502.jpg,105,true,true,true,phone;pastel;animals
Sci-Fi Laptop Stickers,Science fiction themed laptop stickers,179,,90,STICKER-028,,laptop-stickers,Laptop Stickers,https://i.pinimg.com/originals/85/dd/19/85dd19c1a35312492ad80ccf13c7aa8a.jpg,60,true,true,true,laptop;sci-fi;futuristic
Cute Plant Phone Stickers,Adorable plant themed phone stickers,99,,50,STICKER-029,,phone-stickers,Phone Stickers,https://i.pinimg.com/736x/87/f0/b3/87f0b300a952d688b55503c7b0b5c82e.jpg,120,true,true,false,phone;plants;nature
Abstract Tech Laptop Stickers,Modern abstract tech laptop stickers,129,,65,STICKER-030,,laptop-stickers,Laptop Stickers,https://i.pinimg.com/originals/c6/ba/49/c6ba49eb689ea3923d1fc96605c9aa86.jpg,80,true,true,false,laptop;tech;abstract
